team_name,video_id,comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18,comment_19,comment_20,comment_21,comment_22,comment_23,comment_24,comment_25,comment_26,comment_27,comment_28,comment_29,comment_30,mean_sentiment_polarity
Chelsea,xY4Wgd2OyG4,0.9062,0.3724,-0.296,0.891,0.4404,0.0,-0.1027,0.8807,0.0,0.5859,0.2732,0.3599,0.5118,0.9572,0.0516,0.0,-0.296,0.0,0.0772,-0.0565,0.5719,0.34,0.0,0.4404,0.0,0.743,0.8736,0.0,0.0,0.5563,0.30271666666666674
Chelsea,mBewRJ9CASE,0.4939,0.6249,0.0,0.0,0.6962,0.4019,0.5719,0.2732,0.1027,0.2023,0.8807,0.4404,0.5719,0.886,0.0,0.2584,-0.7505,-0.0516,0.0,0.0516,0.6369,0.25,0.6369,0.8249,0.0,0.4404,0.0,0.024,-0.3818,-0.5346,0.25168666666666667
Chelsea,CokI98aEmeU,0.0,0.4404,-0.163,-0.0772,0.0,0.0,0.5859,0.4404,0.34,0.4215,0.0,-0.4767,-0.6597,0.5859,0.4588,0.0,0.4215,0.0,0.0,-0.431,0.0,0.0,0.0,0.0,-0.2023,0.0,-0.5423,0.0,-0.7506,0.0,0.01305333333333335
Chelsea,XzCoVvz8RDA,0.6467,-0.128,0.9081,0.7506,0.926,0.0,0.1531,0.0,0.0,0.0,0.0,0.8271,0.7906,0.5994,0.9136,0.836,0.0,0.5574,0.875,0.836,0.6249,0.5267,0.7351,0.0,0.4404,0.0,0.0,0.0,0.0,0.3182,0.4045633333333333
Chelsea,ONS2urrUe6Q,0.4767,0.8979,0.6249,0.0,0.4588,0.5859,0.5994,0.802,0.2732,0.0,0.3089,0.4404,0.7906,0.0,0.4404,0.4404,0.0,0.0,0.0,0.0,0.0,0.4404,0.0,0.6369,0.0,0.4767,0.0,0.4404,0.0,0.34,0.3157966666666667
Chelsea,GkoKZUBvC9E,0.1109,0.7003,-0.8961,0.3818,0.6369,-0.296,-0.7506,0.2732,0.7506,0.0258,0.4404,0.0,0.802,-0.4767,0.9382,-0.5256,0.5696,-0.4588,0.5719,0.617,0.8277,0.8591,0.2023,0.0,0.0,-0.1144,-0.4019,0.0,0.5859,0.6369,0.20034666666666662
Chelsea,mpAs79hemw0,0.0,0.3818,0.4588,0.0,0.0,0.0,0.5859,0.0,0.0,0.9325,0.0,0.7506,0.0,0.4215,0.7717,0.0,0.9823,0.0,0.8689,0.4404,0.8126,0.8225,0.296,0.0056,0.4453,0.5994,0.0,0.4215,0.0,0.0,0.3332433333333332
Chelsea,kxvM3fMg2jY,-0.34,0.5542,0.296,0.9393,0.7579,0.0,0.743,0.918,0.6808,0.0,0.9081,-0.0772,0.3612,0.9118,0.7964,0.9403,0.5849,0.4404,0.9153,0.9517,0.2263,0.9651,0.0,0.0,0.9843,0.8176,0.5574,-0.128,0.8126,0.8625,0.5459966666666667
Chelsea,W0gkMq4mKaY,-0.3477,0.2732,0.6369,0.931,0.7906,0.6124,0.3612,0.4767,0.9423,0.959,0.7003,0.8885,0.6249,0.8442,0.8779,0.5106,0.802,0.0,0.9313,0.802,0.34,0.0,0.8225,0.0,0.0,-0.3182,0.6369,0.2732,0.6249,0.3818,0.5126133333333334
Chelsea,F81ZM-ZG6-g,0.6369,0.4019,0.5859,-0.4767,-0.3612,0.4767,0.936,0.0,-0.296,0.8979,0.5859,0.6705,-0.3612,0.5994,0.34,0.0,-0.5267,0.8402,-0.7579,0.25,-0.4767,0.0,0.2975,0.4404,-0.3818,0.6808,0.0,0.0,0.0,0.0,0.16672666666666663
Chelsea,hWQy6xucRXI,0.0,0.4215,0.6808,-0.4019,0.7184,0.8481,0.8316,0.5106,0.0,0.9186,0.8779,0.6486,0.6597,0.886,0.7269,0.7717,0.6249,0.7845,0.5859,0.7184,0.6808,-0.2444,0.6124,0.0,0.6369,0.5984,0.8807,-0.4576,0.9022,0.836,0.54192
Chelsea,6wU-IFAEP8w,0.6124,0.6124,0.4019,0.5859,0.0,0.4215,0.5423,0.0,0.0,0.5267,0.4404,0.3818,0.4404,0.6369,-0.4019,0.7845,0.0,0.0,0.0,0.0,-0.9349,0.5267,0.4404,0.6808,0.3818,0.4404,0.4404,0.0,0.4364,0.4215,0.2939566666666667
Chelsea,vIMw-oFNC3Q,0.9001,0.34,0.1531,0.0,0.2732,0.0,0.0,0.5719,0.2732,0.7717,0.5994,0.1027,0.0,0.8402,0.0,0.4939,0.6369,0.4404,0.1027,0.9081,0.6369,0.0,0.4404,0.1531,0.7717,0.9371,0.8481,0.2732,0.0,0.0,0.3822666666666667
Chelsea,c61yCta-SOQ,0.9296,0.0,0.128,0.5423,0.4767,0.1027,0.6249,0.4588,0.7351,-0.7589,0.8126,0.8032,0.1779,-0.1531,0.2263,0.6486,0.4404,-0.2023,0.0,0.0,-0.3182,-0.3182,0.0,0.2111,0.3612,0.0,0.0,0.4404,0.8555,0.0,0.24082000000000006
Chelsea,a1Uls8UvZCo,-0.4927,-0.4588,0.5719,0.0,-0.7005,-0.34,0.4404,0.0,0.0,0.6124,0.1779,0.0,0.2716,0.0,0.4404,-0.25,0.8779,0.0,0.0,-0.0235,-0.5574,0.5106,0.7964,0.4215,0.6249,0.0,0.3182,-0.2677,0.0,0.9942,0.13225666666666666
Chelsea,7Y7iwtU6dHE,-0.4019,0.4404,0.7543,-0.34,0.5423,-0.0258,0.7717,0.7003,0.4019,0.5859,0.0,0.2023,0.8316,0.9359,0.7906,-0.34,0.5296,0.7964,0.0,0.5859,0.9432,0.5994,0.0516,0.5719,0.0,0.8979,0.9595,0.6705,0.0,0.7096,0.43883333333333335
Chelsea,hqI5ChkbhZo,0.7096,0.6808,0.2023,0.7184,0.0267,0.0,0.802,0.8176,0.0,0.5994,0.6249,0.8437,-0.6486,0.2263,-0.1779,0.0,-0.8086,0.0,0.9001,0.4939,0.0,0.8176,0.5106,0.3612,0.4939,0.6249,0.8481,0.5859,0.0,0.4404,0.35644000000000003
Chelsea,bXXAzIfUTNI,-0.1779,0.2732,0.0,0.9001,0.0,0.6597,0.9682,0.0,0.9706,0.4404,0.1139,0.0,0.0,0.6369,0.0,0.4939,0.4404,0.6369,0.4404,0.8402,0.4019,0.9153,0.7717,0.6369,0.0,0.0,0.8555,0.7964,0.6369,0.4019,0.43511333333333335
Chelsea,IzfW0S8reWc,0.6369,0.8885,0.8225,0.0,0.552,0.936,0.992,0.3612,0.5994,0.8581,0.5574,0.6666,0.5859,0.8176,0.8126,-0.2023,0.5994,0.6249,0.6369,0.8481,0.3892,0.0,0.4939,0.9447,0.7269,0.0,0.4019,0.0,0.0,0.0,0.5183433333333334
Manchester City,tCyXd3lRmVQ,0.3612,-0.128,0.9393,0.4588,-0.1045,0.0,0.5106,0.7713,0.6808,0.5106,0.6369,0.5106,0.4404,0.9349,0.34,0.6369,0.9434,0.6705,0.0,0.6369,0.8285,0.765,0.4215,0.0,0.2263,-0.3612,0.0,0.0516,0.0,-0.128,0.3851433333333334
Manchester City,omteyqu8Bwo,-0.3612,0.25,0.7351,0.8329,-0.3182,-0.5423,0.5106,0.0,0.6249,0.5709,0.0,0.8885,-0.4939,0.0,0.9169,0.0,-0.34,0.0,0.3415,0.4588,-0.1027,0.296,0.4404,0.0,0.6908,0.9136,0.0,0.1045,-0.34,0.7506,0.22759000000000001
Manchester City,G1JQc5F-w_g,0.4767,0.8689,0.8934,0.9022,0.7506,0.8555,0.0,0.9337,0.9735,0.4588,0.7845,0.4215,0.0,0.0382,0.0,0.8402,0.9521,0.25,0.7717,-0.4019,0.836,-0.1531,0.1779,0.25,0.1779,0.0258,0.6772,0.0,0.6249,0.8519,0.4746033333333333
Manchester City,ZLcY9eOzdcw,0.6249,0.2732,0.4404,0.0,-0.1531,0.6249,-0.4585,0.4404,0.0,-0.7783,0.9444,0.9201,0.8594,0.0,0.8126,0.0,-0.2023,0.4019,0.7506,0.5859,0.6249,0.8126,0.0,0.4767,-0.0276,0.6597,0.4939,0.8204,0.91,-0.5267,0.34434666666666663
Manchester City,u_Al2My1A6I,0.0,0.7783,0.8883,0.91,0.2732,0.6124,0.4404,0.4404,0.5859,0.5859,0.8625,0.4404,0.0,0.0,0.4404,0.6369,0.8225,0.0,0.0,0.7964,-0.2584,-0.1531,0.0,-0.296,0.0,-0.296,0.6369,0.5267,0.0,0.0,0.32246666666666673
Manchester City,r_F9oPTqNFM,0.1531,0.0,0.743,0.9442,-0.5095,0.34,0.0,-0.4019,0.4404,0.0,0.7351,0.4767,0.7435,0.0,0.7184,0.0,0.5859,0.707,0.0,0.25,0.891,0.6597,0.0772,0.6249,0.5719,-0.0258,0.8807,0.8176,-0.128,0.0,0.34317
Manchester City,6i1Sz7gnEVk,0.7559,0.4767,0.7269,0.9729,0.6908,0.3612,0.5699,0.0516,0.886,0.7003,0.0,0.6808,0.1531,0.9001,0.0,0.6486,0.8519,0.8316,0.7578,0.8204,0.875,0.7184,0.875,0.0516,0.8173,0.6369,0.5984,0.8519,0.765,0.875,0.6300333333333334
Manchester City,OfhJ6zyj5CM,0.7351,0.296,0.34,0.1027,-0.1779,0.4404,0.0,0.9042,-0.5216,0.5423,0.6369,0.8591,0.0,0.7003,0.0,0.0,0.0,-0.5875,0.6249,0.6249,0.8402,0.0,0.9062,0.5719,0.5106,0.5859,0.4939,0.5859,0.5574,0.9678,0.3846533333333334
Manchester City,USvQ14T983Q,-0.9281,0.6705,0.4404,0.9876,0.5994,-0.1027,0.8221,0.4201,0.4939,0.3658,0.0,0.9545,0.7579,0.3182,0.5574,0.659,0.3612,0.7037,0.5719,0.836,0.6705,0.4215,0.8555,0.833,0.836,0.0,0.8176,0.3699,0.3182,0.0,0.4870333333333334
Manchester City,pDRvI9-iYgk,0.0,0.2716,0.5859,0.836,0.6486,0.8176,0.0,0.3182,-0.128,0.0,0.0,0.3182,0.8934,0.5106,-0.2023,0.4215,0.5267,0.0772,-0.0772,-0.1027,0.0,0.7579,-0.2023,0.8979,0.0,0.9666,0.6249,0.8402,-0.2023,0.0,0.31327333333333335
Manchester City,Jrif5xyjigA,0.0,0.3599,0.6249,-0.0516,0.5994,0.5859,0.0,0.4019,0.872,0.5106,0.0,0.875,-0.2263,0.9299,0.2732,0.7717,-0.5574,0.3182,0.7506,0.2732,0.4215,0.9088,0.0,-0.2023,0.7845,0.836,0.5994,0.7579,0.0,0.8126,0.40765
Manchester City,IeTZu21xMWU,0.6124,0.0,0.765,0.7096,0.885,0.4767,0.3182,0.6249,0.0,-0.3612,0.8658,0.0,0.6478,0.0,0.4939,-0.8167,0.0,0.6369,0.8834,0.5158,0.6249,0.0,0.0,-0.4019,0.0,0.0,0.0,0.0,0.9517,0.5994,0.3010533333333333
Manchester City,HqWDf12G_bI,-0.2023,0.802,0.872,0.3182,0.4939,0.0,0.25,0.886,0.8979,0.0,0.8316,0.1298,-0.1531,-0.2023,0.875,0.2263,0.5574,0.0,-0.2023,0.3612,0.9217,0.3182,0.3612,0.0,0.7783,0.7351,0.8957,0.0,-0.296,0.872,0.37758333333333327
Manchester City,1CI7iBG3FV8,0.7096,0.9022,0.8402,0.5267,0.0,0.0,0.3612,-0.5106,0.0,-0.4588,-0.4898,0.4019,0.0,0.4767,0.4404,0.4215,0.0,-0.3818,0.6249,0.5859,0.0,0.3612,0.2732,0.0,0.6369,0.5267,0.128,0.5267,0.0,0.0,0.23009666666666667
Manchester City,duJXHzk8nQo,-0.4019,-0.4019,0.1695,0.9313,0.9469,0.2263,-0.6249,0.2737,0.7778,0.9186,0.7906,0.0,-0.128,0.8317,0.2263,0.0,0.0,0.6597,0.8689,0.765,0.975,0.7269,0.0,-0.4019,0.0,0.3182,0.836,0.7003,0.8591,0.2709,0.37046999999999997
Manchester City,IkaclqsQFh4,0.5106,0.6801,0.3182,0.9914,0.8628,0.7096,0.6124,0.3182,0.5859,0.9022,0.6908,0.0,-0.3626,0.0,0.9412,0.3818,-0.3412,0.7506,0.875,0.8957,0.3612,0.886,0.0,0.3391,0.707,0.0,0.5859,-0.0516,0.7506,0.34,0.47469666666666666
Manchester City,mAAbqIbTsG8,-0.4767,0.25,0.7351,-0.8074,0.6369,-0.4019,0.5574,0.5859,0.9612,-0.2732,0.0,0.3612,0.5994,0.7964,-0.3612,0.8979,-0.6705,0.4404,0.6682,0.0,0.9577,-0.4052,0.25,0.0,-0.3612,0.6557,-0.4939,0.1779,0.6908,0.5423,0.21710666666666667
Manchester City,oKgoxNBjRGc,0.802,0.6369,0.0,0.9432,0.0,0.0,0.6369,0.0,0.8248,0.8225,-0.2023,0.0,0.8481,0.0,0.4404,0.6369,0.1027,0.6249,0.872,0.6369,0.5994,0.7096,0.6369,0.0,0.5719,0.3818,0.0,0.4404,-0.2023,0.4215,0.40617000000000003
Manchester City,3S33A6u6qU8,0.6486,0.5719,0.6249,0.1808,0.7845,0.0,0.9217,-0.4588,0.4404,0.6369,0.6249,0.7096,0.4588,0.7845,-0.2263,0.0,0.4404,0.8885,0.5859,-0.0772,0.886,0.4404,0.7579,0.7778,-0.5106,0.8519,0.0,0.5859,0.3818,0.8402,0.45171000000000006
Southampton,1FxXynfZoYU,0.7783,0.6369,0.6124,0.4588,0.0,0.7003,0.0,-0.3182,0.0,-0.3182,0.0,-0.7453,-0.0516,0.8481,0.0,0.4404,-0.6908,0.7506,-0.1027,0.6486,-0.5423,-0.0516,0.0,-0.5106,0.0,-0.0516,0.0,0.0,0.0,0.0,0.08305
Southampton,mvBRBtYijRU,0.8519,0.5859,-0.4588,0.7096,0.5792,0.7096,0.7964,0.5809,0.4588,0.765,0.7102,0.3182,0.6369,0.4767,0.0,0.6124,-0.4019,0.6369,0.2732,0.7269,0.8316,-0.2023,0.4404,0.794,0.0,0.0,-0.3566,0.8957,0.6249,0.5831,0.43929333333333337
Southampton,pGYHEaEMrss,-0.6531,0.4215,-0.8775,0.5994,0.6369,0.0,-0.5334,0.6486,0.7579,0.25,0.25,0.0,-0.0258,0.2023,0.2023,0.34,-0.2584,0.5859,-0.3412,0.9716,0.4404,-0.4939,0.4404,0.0,-0.1511,0.5719,0.9118,0.7506,0.0,0.5994,0.20821666666666666
Southampton,UWPR2msTAs8,0.7269,0.796,0.8523,0.8481,0.4215,0.0,0.7893,-0.2023,0.0,0.4404,0.7351,0.0,0.6486,0.6369,0.6369,0.5709,0.4404,0.0,0.4404,0.1027,0.6249,0.34,0.2732,0.0,0.6369,0.0,0.3612,0.6249,-0.296,-0.0516,0.37992000000000004
Southampton,dLHp0fg_gTA,0.6249,0.9062,0.9223,0.0,0.2732,0.7906,0.7783,0.8785,0.9549,0.5719,0.7096,0.5994,0.5859,0.3182,-0.2263,0.4404,-0.3728,0.7003,0.0,0.0,0.7579,-0.4767,0.4019,0.4404,0.0,0.3612,0.0,0.0,0.765,0.0,0.39017333333333337
Southampton,c55RHRXKo1o,0.0,0.9601,0.7579,0.4404,0.4215,0.0,0.6369,0.4215,-0.0258,-0.4404,0.0423,-0.7003,0.34,-0.5859,0.0,-0.6705,0.1058,0.5106,0.8074,-0.6222,0.7096,0.5859,0.4404,0.0,0.0,0.0,-0.3412,-0.3182,0.4215,0.0,0.12991
Southampton,x5shthDkZ_4,0.4404,0.7804,0.6597,0.9022,0.2732,0.0772,-0.0263,0.5574,0.8225,0.5106,0.4019,0.6249,0.9552,0.5267,0.9271,0.8176,0.743,0.765,0.9169,0.9371,0.9538,-0.3182,0.743,0.7906,0.9859,-0.34,-0.2732,0.8689,0.0,0.0,0.5341166666666667
Southampton,1NBtjHEYu-8,-0.1531,0.0,-0.0015,0.0,0.0,0.0,0.886,0.5574,-0.296,0.0,0.8059,0.9384,0.0,-0.6369,-0.2705,0.5859,0.0,-0.1082,0.6486,0.0,0.0,0.0,0.4019,-0.0935,0.34,-0.836,-0.4404,0.0,-0.7506,0.3935,0.06569666666666667
Southampton,9TstvGY38Ho,0.872,0.0,0.4019,0.0,0.0,0.5233,0.0,0.5859,-0.3612,0.7759,0.34,0.0,0.2023,0.0,0.1779,0.3917,0.1027,0.8316,0.0772,0.0936,-0.6249,0.2023,0.7906,-0.4939,0.0,-0.1779,0.0,0.0,0.6369,0.0,0.17826333333333336
Southampton,YAJwU608_kI,0.3182,0.0258,0.1531,-0.4019,0.4939,-0.4767,0.3182,-0.4588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009400000000000019
Southampton,qCEz_plAJtw,0.7964,0.0,0.0,0.34,0.7003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06122333333333333
Southampton,L90J7KbJGqk,0.34,0.25,0.0,0.4215,0.8442,-0.0516,0.34,0.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08351
Southampton,MbHno4_ylz0,0.0,0.6124,0.0,0.6808,0.0,0.5994,0.5389,0.8074,-0.4767,0.0,0.0,0.079,0.0,0.0,0.0,-0.4939,0.0,0.0,0.0772,-0.743,0.8387,-0.5719,0.0,0.8555,0.6369,0.0,0.0,0.7717,0.34,0.0,0.15174666666666667
Southampton,zLMeGIoJsD8,0.946,0.5106,0.4404,0.9618,0.5106,0.7845,-0.3818,0.9337,0.8271,0.7906,0.7269,0.8555,0.9631,0.7184,0.5106,-0.2023,0.25,0.9201,0.7615,0.8591,0.4019,0.5994,0.886,0.6369,0.5106,0.0,0.0,0.0,0.3818,0.7845,0.5629166666666666
Southampton,y8nzaTjRVAw,0.9477,0.891,0.6344,0.7096,0.8129,0.926,0.6597,0.3612,0.8271,0.3612,0.5859,0.0,0.0,0.5106,0.3612,0.7845,0.765,0.4215,0.0,0.3612,0.7003,0.8225,0.8176,0.5267,0.4404,0.6124,0.0258,0.5994,0.1531,0.0,0.52063
Southampton,QtiTdspVKZ0,0.5994,0.6808,0.0,0.0,0.5859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062203333333333326
Southampton,54fTVwV7np4,0.5423,0.9337,0.7003,0.7964,-0.3415,-0.4767,0.0,0.0,0.9313,0.0,-0.2263,0.6705,0.7003,0.0,0.6124,-0.4378,0.9423,0.3182,0.0,0.6705,0.0,-0.1278,0.5859,-0.4404,0.34,0.6249,0.1027,0.0,0.0,0.0,0.2473733333333333
Southampton,VOgOZdCFQy4,0.4767,0.7474,0.7184,0.6369,0.4404,-0.8074,0.7882,0.4404,0.6369,0.0,0.7828,0.6249,0.0,-0.0772,-0.4243,0.0,-0.4404,-0.1531,0.4404,-0.4243,-0.1531,0.0,0.0,0.0,0.5574,0.4939,0.2235,0.34,0.0,0.8,0.22227999999999998
Southampton,rCvvpKk5rWo,0.7717,0.8658,0.0,0.0,0.7165,-0.4588,0.4404,0.6908,0.6249,0.0,0.0,0.0,0.0,0.5267,0.0,0.1877,0.0,0.6369,0.0,0.4767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18264333333333335
Southampton,Wmmtc8iWwXo,0.9153,0.7269,-0.0258,-0.3182,0.5106,0.8074,0.4404,0.7717,0.0,0.5859,0.2732,0.0,0.6808,0.5106,0.4019,0.0,0.0,0.5859,0.9081,0.0,0.0,0.0,0.0,-0.1779,0.0,-0.743,0.0,0.0,0.0,0.0,0.22845999999999997
Liverpool,d_oHcDdT-ek,0.6705,0.6369,0.0,0.25,-0.6808,-0.1027,0.9654,-0.5859,0.0,-0.5423,0.6369,-0.8767,0.357,-0.6906,0.4404,0.9327,-0.2177,0.5423,0.3818,-0.3818,-0.25,0.7003,0.4215,-0.5707,0.0,-0.5574,0.5903,-0.0296,-0.7579,0.0,0.04273000000000002
Liverpool,AnfpJspeDj4,-0.4939,-0.1027,-0.6124,-0.1779,0.9779,0.4588,-0.2732,-0.8316,0.8852,-0.5688,0.6249,-0.6705,-0.2263,0.3182,0.4404,0.3612,0.1511,0.0,0.357,-0.4767,-0.2732,0.0,0.2365,-0.3818,0.5423,0.9337,0.0018,-0.4588,0.7717,0.9041,0.08056666666666668
Liverpool,bb25lIUkTgI,-0.6169,0.8225,0.8481,0.8658,0.3612,0.4767,-0.3412,0.9423,0.0,0.0,-0.5423,-0.891,0.7717,0.9337,0.6486,0.1027,0.765,0.0,0.4404,0.25,0.0,0.4215,0.4404,0.6369,0.5267,0.0,0.3182,0.0258,0.9154,0.5994,0.3240533333333333
Liverpool,60YKaexFWdg,0.3612,-0.0258,0.7299,-0.4019,0.6369,0.0,-0.7783,0.8519,0.25,-0.5994,0.0,0.4215,-0.5856,0.8591,0.3182,-0.3182,-0.5965,0.6369,0.0,0.3612,0.8074,0.802,0.8176,0.0258,0.9451,-0.0334,-0.5574,0.8458,0.4404,0.0,0.20714666666666665
Liverpool,iBuTEywEQ6U,0.8885,0.6361,-0.296,0.5994,0.8807,0.5574,0.5627,0.2716,-0.6486,0.9545,0.0,0.8402,0.7845,0.9648,0.4588,0.4767,0.1695,0.9246,0.8885,-0.296,0.8658,0.7574,0.7987,0.2732,0.0,0.3612,0.6369,0.8074,0.1695,0.0772,0.47884000000000004
Liverpool,IjHAG463flM,0.2023,-0.6249,0.0697,-0.2023,0.5859,0.2263,-0.128,0.743,0.0,0.624,0.6908,0.9217,-0.1877,0.0,0.7783,0.7717,0.4588,0.7368,0.0,0.0772,0.0,0.0,0.6369,0.836,0.0,0.9169,0.0,0.9179,0.9794,0.5994,0.35433666666666663
Liverpool,rMKlZaB7wNk,0.872,-0.6127,0.9468,0.4588,-0.1779,0.0,0.0,0.4939,0.4215,0.0,0.9136,0.3612,0.1139,0.0516,0.0,0.5994,0.7906,0.6808,0.0,-0.0258,-0.296,0.0258,0.0,0.7579,-0.128,0.624,0.3182,0.8271,0.4404,0.34,0.29323666666666665
Liverpool,JwVtuQ7HL-8,0.5542,0.8271,0.5859,0.5859,0.5994,0.9108,0.0,0.8689,0.5859,0.7717,0.624,0.8225,0.0,0.6369,0.0,0.0,0.7003,0.6249,-0.743,0.9894,0.0,-0.296,-0.4344,0.5994,0.5859,0.0,0.5859,0.2732,0.0,0.0,0.3752933333333333
Liverpool,V-rTCdnNTqc,0.5719,0.743,0.8957,0.2778,0.7184,0.4588,0.3612,0.8126,0.6003,-0.1531,0.5859,0.0,0.0772,0.8316,0.0,0.875,0.8316,0.8834,0.6705,0.0,-0.3612,0.9186,-0.4019,0.8225,0.6124,0.8176,0.9061,0.6369,0.743,-0.7003,0.4678500000000001
